path,subject,section,topic_path,title,content_type,level,checked,quality_status,has_article,has_image,image_paths,image_type,image_quality,image_didactic_value,has_exercises,has_solutions,exercise_link_ok,solution_link_ok,placement_ok,needs_subtopics,umlauts_ok,no_mojibake,no_dev_artifacts,no_unnecessary_info,no_duplicates,frontmatter_ok,tags_ok,learning_goals_ok,common_mistakes_ok,key_takeaways_ok,navigation_topic_path_ok,reading_quality,structure_quality,language_quality,didactic_depth,examples_ok,misconceptions_ok,abgrenzung_ok,einstieg_ok,niveau_ok,aktualitaet_ok,redundancy_risk,priority,next_action,recommended_fix_type,notes
src/content/articles/informatik/daten-und-information/zahlensysteme-und-darstellung/ueberblick/grundlagen-zahlensysteme-und-darstellung.md,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Grundlagen: Zahlensysteme und Darstellung,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/zahlensysteme-und-darstellung.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/daten-und-information/zahlensysteme-und-darstellung/zahlensysteme-und-darstellung-ruhig-einordnen-v185.md,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Zahlensysteme und Darstellung – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/daten-und-information/zahlensysteme-und-darstellung/zahlensysteme-und-darstellung-anwenden-und-pruefen-v185.md,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Zahlensysteme und Darstellung – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/daten-und-information/zahlensysteme-und-darstellung/zahlensysteme-und-darstellung-ruhig-einordnen-v185-loesung.md,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Lösung – Zahlensysteme und Darstellung – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/daten-und-information/zahlensysteme-und-darstellung/zahlensysteme-und-darstellung-anwenden-und-pruefen-v185-loesung.md,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Lösung – Zahlensysteme und Darstellung – anwenden und prüfen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
public/images/overviews/v185/zahlensysteme-und-darstellung.svg,informatik,Daten und Information,daten-und-information/zahlensysteme-und-darstellung,Schaubild: Zahlensysteme und Darstellung,illustration,einfach,partial,open,yes,yes,,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,not_needed,not_needed,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/articles/informatik/programmablauf-und-steuerung/binaerlogik-und-bedingungen/ueberblick/grundlagen-binaerlogik-und-bedingungen.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Grundlagen: Binärlogik und Bedingungen,article,einfach,partial,improve,yes,yes,/schlaufuchs-platform/images/overviews/v185/binaerlogik-und-bedingungen.svg,svg,ok,structure_overview,yes,yes,open,open,partial,no,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/binaerlogik-und-bedingungen/binaerlogik-und-bedingungen-ruhig-einordnen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Binärlogik und Bedingungen – ruhig einordnen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/exercises/informatik/programmablauf-und-steuerung/binaerlogik-und-bedingungen/binaerlogik-und-bedingungen-anwenden-und-pruefen-v185.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Binärlogik und Bedingungen – anwenden und prüfen,exercise,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
src/content/solutions/informatik/programmablauf-und-steuerung/binaerlogik-und-bedingungen/binaerlogik-und-bedingungen-ruhig-einordnen-v185-loesung.md,informatik,Programmablauf und Steuerung,programmablauf-und-steuerung/binaerlogik-und-bedingungen,Lösung – Binärlogik und Bedingungen – ruhig einordnen,solution,einfach,partial,improve,yes,not_needed,,,not_needed,,yes,yes,yes,yes,partial,no,yes,yes,yes,partial,yes,yes,yes,not_needed,not_needed,not_needed,yes,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,low,medium,review,quality_review,"v185 Informatik-Sanierungsblock: neu erstellt, fachliche Review bleibt empfohlen."
